city,state,ev_network,total_stations,total_ports,dc_fast_pct,level2_pct,rolling_avg_ports
Los Angeles,CA,VIALYNK,3,29,0.0,100.0,41.0
Glendale,CA,LOOP,3,29,0.0,100.0,31.57
Sunnyvale,CA,SYNERGEV,4,29,0.0,100.0,32.0
Chula Vista,CA,Blink Network,5,29,0.0,100.0,33.14
Auburn,CA,ChargePoint Network,20,29,31.03,68.97,30.14
South San Francisco,CA,Blink Network,5,29,6.9,93.1,31.71
Torrance,CA,EVGATEWAY,1,29,0.0,100.0,34.14
Downey,CA,ChargePoint Network,16,29,10.34,89.66,29.86
Vista,CA,Blink Network,6,29,13.79,86.21,30.43
Richmond,CA,ChargePoint Network,16,28,10.71,89.29,29.43
Arcadia,CA,ChargePoint Network,18,28,0.0,100.0,29.0
Elk Grove,CA,Tesla,2,28,100.0,0.0,30.86
Carson,CA,Tesla,2,28,100.0,0.0,30.29
Cabazon,CA,Tesla,2,28,100.0,0.0,29.71
Los Gatos,CA,Tesla,2,28,100.0,0.0,29.14
American Canyon,CA,ChargePoint Network,17,28,0.0,100.0,28.71
Fountain Valley,CA,Tesla,2,28,100.0,0.0,28.71
Redlands,CA,ChargePoint Network,20,28,35.71,64.29,28.43
La Mirada,CA,ChargePoint Network,14,28,0.0,100.0,28.29
Vallery Center,CA,Non-Networked,1,28,42.86,57.14,35.43
Whittier,CA,Tesla,2,28,100.0,0.0,28.29
Oakland,CA,Non-Networked,5,28,0.0,85.71,33.43
Chino Hills,CA,LOOP,3,28,0.0,100.0,30.57
Brea,CA,Tesla Destination,2,28,0.0,100.0,32.71
Needles,CA,Tesla,3,28,100.0,0.0,28.0
Richmond,CA,Tesla,2,28,100.0,0.0,28.0
Novato,CA,Tesla,2,28,100.0,0.0,28.0
Sunnyvale,CA,Blink Network,4,28,0.0,100.0,29.57
Oakland,CA,Tesla,2,28,100.0,0.0,28.0
Woodland,CA,ChargePoint Network,14,28,0.0,100.0,28.14
Fullerton,CA,Tesla,2,28,100.0,0.0,28.0
Arcata,CA,ChargePoint Network,15,28,7.14,92.86,28.0
Encinitas,CA,Tesla,2,28,100.0,0.0,28.0
Los Altos,CA,POWERFLEX,1,28,7.14,92.86,33.71
Encinitas,CA,ChargePoint Network,15,28,0.0,100.0,28.0
Signal Hill,CA,Tesla,1,28,100.0,0.0,28.0
San Mateo,CA,eVgo Network,5,28,100.0,0.0,31.71
Newark,CA,ChargePoint Network,15,28,3.57,96.43,28.0
Santa Barbara,CA,Tesla,2,28,100.0,0.0,28.0
Rancho Cordova,CA,SWTCH,1,27,0.0,100.0,28.5
Palo Alto,CA,Blink Network,6,27,7.41,92.59,28.57
San Leandro,CA,ChargePoint Network,15,27,0.0,100.0,27.86
Tustin,CA,Non-Networked,8,27,62.96,37.04,31.57
San Anselmo,CA,ChargePoint Network,15,27,0.0,100.0,27.71
Anaheim,CA,EVCS,3,27,100.0,0.0,37.0
Pomona,CA,ChargePoint Network,19,27,18.52,81.48,27.57
San Luis Obispo,CA,Non-Networked,8,27,3.7,96.3,30.29
Los Angeles,CA,EV Connect,7,27,14.81,85.19,48.86
Victorville,CA,ChargePoint Network,17,27,14.81,85.19,27.43
Torrance,CA,LOOP,5,27,0.0,100.0,29.57
Beverly Hills,CA,Tesla Destination,7,27,0.0,100.0,31.14
Palm Desert,CA,Tesla Destination,6,27,0.0,100.0,29.71
Manhattan Beach,CA,ChargePoint Network,17,27,0.0,100.0,27.29
Vacaville,CA,Non-Networked,10,27,0.0,96.3,29.14
La Quinta,CA,Tesla Destination,5,26,0.0,100.0,28.29
Whittier,CA,ChargePoint Network,14,26,0.0,100.0,27.0
Merced,CA,Blink Network,2,26,0.0,100.0,28.14
Northridge,CA,Non-Networked,11,26,0.0,100.0,28.0
Antioch,CA,eVgo Network,3,26,100.0,0.0,30.29
Pittsburg,CA,ChargePoint Network,15,26,7.69,92.31,26.71
Fremont,CA,Blink Network,4,26,0.0,100.0,27.71
West Hollywood,CA,LOOP,3,26,0.0,100.0,28.57
Modesto,CA,POWERFLEX,1,26,61.54,38.46,31.29
Buttonwillow,CA,Tesla,2,26,100.0,0.0,27.71
Ventura,CA,EVGATEWAY,2,26,0.0,100.0,31.57
San Bernardino,CA,Tesla,2,26,100.0,0.0,27.43
Long Beach,CA,WATT_EV,1,26,100.0,0.0,38.0
Ontario,CA,Blink Network,2,26,0.0,100.0,27.29
Palo Alto,CA,Tesla Destination,6,26,0.0,100.0,27.43
Los Gatos,CA,ChargePoint Network,14,26,0.0,100.0,26.57
Woodland,CA,Non-Networked,7,25,32.0,68.0,26.86
Berkeley,CA,CHARGELAB,1,25,0.0,100.0,30.0
San Mateo,CA,Tesla Destination,1,25,0.0,100.0,26.86
Indian Wells,CA,Blink Network,1,25,0.0,100.0,26.71
San Ramon,CA,ChargePoint Network,14,25,0.0,100.0,26.29
Walnut Creek,CA,Blink Network,4,25,0.0,100.0,26.14
Madera,CA,ChargePoint Network,13,25,16.0,84.0,26.0
Los Gatos,CA,Tesla Destination,5,25,0.0,100.0,26.29
Emeryville,CA,ChargePoint Network,15,25,0.0,100.0,25.71
Malibu,CA,Tesla,3,25,100.0,0.0,27.0
La Quinta,CA,Tesla,2,24,100.0,0.0,26.43
Palm Springs,CA,Tesla,1,24,100.0,0.0,25.86
Vista,CA,LOOP,3,24,8.33,91.67,27.57
Westminster,CA,Tesla,1,24,100.0,0.0,25.29
Granada Hills,CA,Tesla,1,24,100.0,0.0,24.71
Chino Hills,CA,ChargePoint Network,13,24,0.0,100.0,25.29
San Bernardino,CA,WATT_EV,1,24,100.0,0.0,33.33
Fontana,CA,Tesla,1,24,100.0,0.0,24.43
Covina,CA,ChargePoint Network,14,24,0.0,100.0,25.0
Modesto,CA,EV Connect,4,24,25.0,75.0,35.86
Chico,CA,Non-Networked,3,24,33.33,66.67,26.29
Manhattan Beach,CA,Tesla,1,24,100.0,0.0,24.14
Placerville,CA,ChargePoint Network,13,24,8.33,91.67,24.71
Turlock,CA,Tesla,2,24,100.0,0.0,24.0
Norwalk,CA,ChargePoint Network,12,24,0.0,100.0,24.43
Emeryville,CA,Tesla,2,24,100.0,0.0,24.0
Weed,CA,Tesla,2,24,100.0,0.0,24.0
Rancho Mirage,CA,Tesla,1,24,100.0,0.0,24.0
Citrus Heights,CA,Tesla,1,24,100.0,0.0,24.0
Lake Forest,CA,Tesla,1,24,100.0,0.0,24.0
Fresno,CA,eVgo Network,5,24,100.0,0.0,28.57
Aliso Viejo,CA,ChargePoint Network,12,24,0.0,100.0,24.29
Santa Cruz,CA,Tesla Destination,4,24,0.0,100.0,25.71
Los Angeles,CA,SWTCH,4,24,0.0,100.0,27.0
Anaheim,CA,Tesla Destination,1,24,0.0,100.0,25.29
Westlake Village,CA,Tesla,1,24,100.0,0.0,24.0
Stockton,CA,Tesla,2,24,100.0,0.0,24.0
Culver City,CA,LOOP,2,24,0.0,100.0,26.71
Torrance,CA,SHELL_RECHARGE,1,24,100.0,0.0,204.0
Huntington Beach,CA,Tesla,1,24,100.0,0.0,24.0
Northridge,CA,Tesla,1,24,100.0,0.0,24.0
Santa Barbara,CA,Blink Network,2,24,0.0,100.0,25.57
Fresno,CA,Electrify America,6,24,91.67,8.33,48.8
Duarte,CA,BP_PULSE,1,24,100.0,0.0,36.0
Downey,CA,Tesla,2,24,100.0,0.0,24.0
Berkeley,CA,Blink Network,3,23,0.0,100.0,25.0
Los Angeles,CA,ABM,2,23,8.7,91.3,23.0
Salinas,CA,eVgo Network,4,23,100.0,0.0,27.29
Palm Desert,CA,ChargePoint Network,15,23,17.39,82.61,24.0
Turlock,CA,ChargePoint Network,13,23,0.0,100.0,23.71
Porterville,CA,Blink Network,4,23,17.39,82.61,24.57
Fallbrook,CA,ChargePoint Network,14,23,8.7,91.3,23.57
Bellflower,CA,ChargePoint Network,13,23,4.35,95.65,23.43
Winchester,CA,Blink Network,4,23,0.0,100.0,24.14
San Diego,CA,ABM,4,23,0.0,100.0,23.0
Bakersfield,CA,Electrify America,7,22,63.64,36.36,44.33
Palm Springs,CA,LOOP,1,22,0.0,100.0,25.71
Kentfield,CA,Blink Network,1,22,0.0,100.0,23.57
Shafter,CA,EVGATEWAY,1,22,0.0,100.0,29.14
Campbell,CA,Blink Network,6,22,0.0,100.0,23.14
Mammoth Lakes,CA,Tesla Destination,5,22,0.0,100.0,24.57
Merced,CA,NAYAX_ENERGY,1,22,100.0,0.0,22.0
Pasadena,CA,EVGATEWAY,2,22,0.0,100.0,27.29
Lompoc,CA,POWERFLEX,1,22,0.0,100.0,29.29
Stanton,CA,EVCS,2,22,100.0,0.0,32.0
Tracy,CA,Blink Network,2,22,9.09,90.91,22.71
Moreno Valley,CA,EVGATEWAY,2,22,0.0,100.0,25.86
Lakeside,CA,ChargePoint Network,12,22,4.55,95.45,23.14
Blythe,CA,EVGATEWAY,2,22,0.0,100.0,24.71
South Lake Tahoe,CA,Blink Network,3,22,0.0,100.0,22.43
Fairfield,CA,EVCS,3,22,100.0,0.0,29.0
Monterey,CA,ChargePoint Network,13,22,18.18,81.82,22.86
Vista,CA,ChargePoint Network,15,22,0.0,100.0,22.57
El Segundo,CA,EV Connect,3,22,0.0,100.0,28.43
Yosemite National Park,CA,RIVIAN_WAYPOINTS,3,22,0.0,100.0,28.0
Indio,CA,ChargePoint Network,13,21,14.29,85.71,22.29
Pleasanton,CA,Electrify America,4,21,95.24,4.76,41.0
Thousand Oaks,CA,NOODOE,6,21,0.0,100.0,68.5
Palo Alto,CA,EVGATEWAY,1,21,0.0,100.0,23.43
Lost Hills,CA,Non-Networked,2,21,4.76,95.24,25.29
City of Fairfield,CA,EVCS,1,21,57.14,42.86,26.86
Stockton,CA,Non-Networked,6,21,42.86,57.14,24.43
Roseville,CA,LOOP,3,21,0.0,100.0,24.57
Roseville,CA,POWERFLEX,2,21,0.0,100.0,27.14
Westlake Village,CA,Blink Network,2,21,0.0,100.0,22.14
Oakley,CA,ChargePoint Network,13,21,0.0,100.0,22.0
Napa,CA,Blink Network,3,21,0.0,100.0,21.86
Santa Rosa,CA,Tesla Destination,8,21,0.0,100.0,23.86
Carmel-by-the-Sea,CA,ChargePoint Network,11,21,0.0,100.0,21.71
San Jose,CA,LOOP,1,20,0.0,100.0,23.43
Clovis,CA,ChargePoint Network,10,20,0.0,100.0,21.29
Oceanside,CA,eVgo Network,4,20,100.0,0.0,25.86
Pacific Grove,CA,ChargePoint Network,11,20,10.0,90.0,21.0
San Gabriel,CA,Tesla,1,20,100.0,0.0,23.43
Galt,CA,Tesla,1,20,100.0,0.0,22.86
Menlo Park,CA,POWERFLEX,1,20,0.0,100.0,25.43
Jurupa Valley,CA,Tesla,1,20,100.0,0.0,22.29
Carlsbad,CA,Blink Network,4,20,0.0,100.0,21.43
Brisbane,CA,CHARGIE,2,20,0.0,100.0,83.67
Woodland,CA,Tesla,2,20,100.0,0.0,21.71
Burlingame,CA,Tesla,1,20,100.0,0.0,21.14
Fairfield,CA,Non-Networked,5,20,25.0,75.0,23.43
Inglewood,CA,Blink Network,1,20,0.0,100.0,21.14
Capitola,CA,Non-Networked,1,20,40.0,60.0,22.43
Calabasas,CA,Tesla,1,20,100.0,0.0,20.57
San Marcos,CA,Tesla,1,20,100.0,0.0,20.0
San Leandro,CA,Tesla Destination,2,20,0.0,100.0,23.0
Buellton,CA,Tesla,1,20,100.0,0.0,20.0
Coarsegold,CA,Tesla Destination,2,20,0.0,100.0,22.29
Fountain Valley,CA,ChargePoint Network,12,20,0.0,100.0,20.71
Cerritos,CA,Tesla,1,20,100.0,0.0,20.0
Ukiah,CA,Tesla,2,20,100.0,0.0,20.0
Eureka,CA,Tesla,2,20,100.0,0.0,20.0
Milpitas,CA,Non-Networked,2,20,0.0,100.0,21.57
Carmichael,CA,eVgo Network,2,20,100.0,0.0,24.43
Red Bluff,CA,Tesla,2,20,100.0,0.0,20.0
Mammoth Lakes,CA,Tesla,2,20,100.0,0.0,20.0
Petaluma,CA,Tesla,1,20,100.0,0.0,20.0
Lakewood,CA,Tesla,1,20,100.0,0.0,20.0
Irvine,CA,ABM,1,20,0.0,100.0,22.0
Gardena,CA,Tesla,1,20,100.0,0.0,20.0
Hermosa Beach,CA,Tesla,1,20,100.0,0.0,20.0
Ventura,CA,Tesla,2,20,100.0,0.0,20.0
Hercules,CA,ChargePoint Network,10,20,0.0,100.0,20.43
Rancho Cucamonga,CA,Tesla,2,20,100.0,0.0,20.0
Santa Monica,CA,Electrify America,1,20,100.0,0.0,33.29
Stockton,CA,EVGATEWAY,1,20,50.0,50.0,22.14
San Bruno,CA,ChargePoint Network,10,20,0.0,100.0,20.29
Moreno Valley,CA,eVgo Network,3,20,100.0,0.0,23.0
Escondido,CA,Tesla,1,20,100.0,0.0,20.0
Santa Rosa,CA,Tesla,1,20,100.0,0.0,20.0
Corona,CA,Tesla,1,20,100.0,0.0,20.0
Grover Beach,CA,Tesla,1,20,100.0,0.0,20.0
Temecula,CA,Non-Networked,5,20,0.0,100.0,20.86
Milpitas,CA,INTERTIE,2,20,0.0,100.0,20.0
San Mateo,CA,Blink Network,1,20,0.0,100.0,20.86
Grass Valley,CA,ChargePoint Network,11,20,10.0,90.0,20.14
Paramount,CA,ChargePoint Network,11,20,0.0,100.0,20.0
Ontario,CA,SYNERGEV,4,20,0.0,100.0,28.0
Costa Mesa,CA,EVGATEWAY,1,20,0.0,100.0,21.29
Tuolumne Meadows,CA,RIVIAN_WAYPOINTS,1,20,0.0,100.0,25.33
Roseville,CA,Electrify America,4,20,80.0,20.0,27.29
Placerville,CA,Tesla,2,20,100.0,0.0,20.0
Oxnard,CA,Tesla,1,20,100.0,0.0,20.0
Indian Wells,CA,ChargePoint Network,14,20,0.0,100.0,20.0
Anaheim,CA,EVRANGE,2,20,0.0,100.0,29.5
Costa Mesa,CA,ROVE,1,20,100.0,0.0,20.0
Palo Alto,CA,LOOP,2,20,0.0,100.0,22.43
Heber,CA,Blink Network,1,20,100.0,0.0,20.57
Morgan Hill,CA,ChargePoint Network,13,20,0.0,100.0,20.0
Mt. Shasta,CA,Tesla,2,20,100.0,0.0,20.0
Riverside,CA,EV Connect,3,20,0.0,100.0,26.29
Bakersfield,CA,EVGATEWAY,1,19,42.11,57.89,20.86
Lancaster,CA,POWERFLEX,1,19,0.0,100.0,23.71
Fresno,CA,Blink Network,6,19,0.0,100.0,20.14
Campbell,CA,EVMATCH,5,19,0.0,100.0,19.0
San Juan Capistrano,CA,Tesla,2,19,100.0,0.0,19.86
Fremont,CA,eVgo Network,3,19,100.0,0.0,21.71
San Pablo,CA,ChargePoint Network,10,19,0.0,100.0,19.86
Lancaster,CA,LOOP,3,19,0.0,100.0,21.43
Vernon,CA,ChargePoint Network,19,19,100.0,0.0,19.71
Pomona,CA,EVCS,1,19,0.0,100.0,24.43
West Hollywood,CA,Tesla Destination,4,19,0.0,100.0,21.43
Laguna Hills,CA,Non-Networked,1,19,0.0,0.0,20.14
Costa Mesa,CA,Blink Network,3,19,0.0,100.0,19.86
San Carlos,CA,Tesla,1,19,100.0,0.0,19.71
Long Beach,CA,Tesla Destination,4,19,0.0,100.0,20.71
San Francisco,CA,POWERFLEX,1,19,0.0,100.0,22.14
Yorba Linda,CA,ChargePoint Network,11,19,0.0,100.0,19.57
Tehachapi,CA,ChargePoint Network,11,19,10.53,89.47,19.43
Santa Ana,CA,eVgo Network,4,18,100.0,0.0,20.57
Clovis,CA,SWTCH,2,18,0.0,100.0,24.75
Laguna Niguel,CA,ChargePoint Network,10,18,5.56,94.44,19.14
Rancho Cordova,CA,Tesla,1,18,100.0,0.0,19.43
Marina Del Rey,CA,Tesla,2,18,100.0,0.0,19.14
Elk Grove,CA,OpConnect,1,18,0.0,100.0,57.0
Watsonville,CA,Tesla,1,18,100.0,0.0,18.86
Mission Viejo,CA,Tesla,2,18,100.0,0.0,18.57
Long Beach,CA,eVgo Network,4,18,100.0,0.0,19.71
Dana Point,CA,ChargePoint Network,10,18,0.0,100.0,18.86
Hawthorne,CA,ChargePoint Network,11,18,0.0,100.0,18.57
Citrus Heights,CA,eVgo Network,2,18,100.0,0.0,19.0
Tulare,CA,EV Connect,2,18,0.0,100.0,24.43
Rancho Cordova,CA,eVgo Network,2,18,100.0,0.0,18.71
Whittier,CA,eVgo Network,2,18,100.0,0.0,18.43
South Lake Tahoe,CA,Tesla Destination,7,18,0.0,100.0,19.86
Chula Vista,CA,DIRT_ROAD,1,18,0.0,100.0,26.5
San Clemente,CA,ChargePoint Network,13,18,44.44,55.56,18.43
Anaheim,CA,NOODOE,3,18,0.0,100.0,61.29
Menlo Park,CA,Tesla,1,18,100.0,0.0,18.29
Fairfield,CA,eVgo Network,3,18,100.0,0.0,18.14
Rancho Mirage,CA,eVgo Network,2,18,100.0,0.0,18.0
Gardena,CA,NOODOE,1,18,0.0,100.0,39.86
Pacific Palisades,CA,Non-Networked,3,18,11.11,77.78,19.71
Elk Grove,CA,EVGATEWAY,3,18,77.78,22.22,20.29
Brentwood,CA,EVGATEWAY,1,18,0.0,100.0,19.71
Big Bear Lake,CA,Tesla,2,18,100.0,0.0,18.14
Mendocino,CA,Tesla Destination,5,18,0.0,100.0,19.29
Hayward,CA,eVgo Network,2,18,100.0,0.0,18.0
Buena Park,CA,EVGATEWAY,2,18,44.44,55.56,19.14
Modesto,CA,NAYAX_ENERGY,1,18,100.0,0.0,20.0
Burbank,CA,Electrify America,3,18,94.44,5.56,22.86
Chico,CA,Tesla,1,18,100.0,0.0,18.0
Riverside,CA,Blink Network,3,18,0.0,100.0,19.43
Carson,CA,EVRANGE,1,18,0.0,100.0,25.67
Folsom,CA,OpConnect,1,18,0.0,100.0,47.25
Palmdale,CA,ChargePoint Network,13,18,11.11,88.89,18.29
San Luis Obispo,CA,Tesla Destination,5,17,0.0,100.0,18.71
Los Angeles,CA,Electrify America,5,17,100.0,0.0,20.29
Westminster,CA,ChargePoint Network,11,17,5.88,94.12,18.0
Mission Hills,CA,Blink Network,2,17,0.0,100.0,19.0
Irvine,CA,SWTCH,2,17,0.0,100.0,23.2
Redondo Beach,CA,ChargePoint Network,9,17,5.88,94.12,17.71
Truckee,CA,Tesla Destination,5,17,0.0,100.0,18.29
Ventura,CA,Non-Networked,6,17,5.88,94.12,19.14
Perris,CA,ChargePoint Network,10,17,0.0,100.0,17.57
La Quinta,CA,CHARGELAB,5,17,0.0,100.0,27.4
Antioch,CA,ChargePoint Network,9,17,0.0,100.0,17.43
Goleta,CA,POWERFLEX,1,17,0.0,100.0,20.57
Laguna Beach,CA,Tesla Destination,4,17,0.0,100.0,17.86
El Segundo,CA,Tesla Destination,3,17,0.0,100.0,17.57
Ukiah,CA,NOODOE,2,17,0.0,100.0,27.29
Riverside,CA,Non-Networked,8,17,0.0,100.0,18.71
Eastvale,CA,Tesla,1,16,100.0,0.0,17.71
Lakewood,CA,eVgo Network,3,16,100.0,0.0,17.71
Yorba Linda,CA,Tesla,2,16,100.0,0.0,17.43
Cathedral City,CA,EVCS,1,16,0.0,100.0,22.43
Vista,CA,CHAEVI,1,16,100.0,0.0,16.0
Mountain View,CA,EVMATCH,2,16,0.0,100.0,17.5
Menlo Park,CA,Non-Networked,1,16,0.0,100.0,18.14
Eureka,CA,ChargePoint Network,8,16,0.0,100.0,17.14
Vernon,CA,Tesla,2,16,100.0,0.0,17.14
El Segundo,CA,LOOP,1,16,0.0,100.0,20.29
Danville,CA,Tesla,1,16,100.0,0.0,16.86
Newbury Park,CA,Tesla,1,16,100.0,0.0,16.57
Monterey Park,CA,EV Connect,2,16,0.0,100.0,22.43
Baldwin Park,CA,Tesla,1,16,100.0,0.0,16.29
La Jolla,CA,Tesla,1,16,100.0,0.0,16.0
Palm Desert,CA,LOOP,3,16,0.0,100.0,19.14
Folsom,CA,Blink Network,3,16,0.0,100.0,18.43
Fremont,CA,Tesla Destination,4,16,0.0,100.0,17.14
Alamo,CA,Tesla,1,16,100.0,0.0,16.0
Lancaster,CA,Tesla,1,16,100.0,0.0,16.0
Alpine,CA,Tesla,1,16,100.0,0.0,16.0
Brentwood,CA,Tesla,1,16,100.0,0.0,16.0
San Jose,CA,IONNA,2,16,100.0,0.0,16.0
Westminster,CA,CHARGIE,1,16,0.0,100.0,66.75
Baldwin Park,CA,EVCS,1,16,25.0,75.0,20.43
Lone Pine,CA,Tesla,1,16,100.0,0.0,16.0
Paso Robles,CA,Blink Network,1,16,0.0,100.0,17.86
Olancha,CA,Tesla,1,16,100.0,0.0,16.0
Altos Hills,CA,POWERFLEX,1,16,0.0,100.0,19.14
Truckee,CA,ChargePoint Network,11,16,12.5,87.5,16.86
Hawthorne,CA,Tesla Destination,3,16,0.0,100.0,16.86
South San Francisco,CA,Non-Networked,1,16,75.0,25.0,17.57
Traver,CA,Tesla,1,16,100.0,0.0,16.0
Campbell,CA,Tesla,1,16,100.0,0.0,16.0
La Mesa,CA,ChargePoint Network,9,16,0.0,100.0,16.57
Torrance,CA,NOODOE,1,16,0.0,100.0,23.0
Santa Fe Springs,CA,EV Connect,1,16,87.5,12.5,20.43
Covina,CA,Tesla,1,16,100.0,0.0,16.0
La Verne,CA,Tesla,1,16,100.0,0.0,16.0
Downey,CA,Non-Networked,4,16,12.5,87.5,17.0
King City,CA,Tesla,1,16,100.0,0.0,16.0
West Sacramento,CA,Tesla,1,16,100.0,0.0,16.0
Inyokern,CA,Tesla,2,16,100.0,0.0,16.0
Azusa,CA,Tesla,1,16,100.0,0.0,16.0
Highland,CA,Tesla,2,16,100.0,0.0,16.0
Colton,CA,EVMATCH,1,16,0.0,100.0,17.0
Buena Park,CA,ChargePoint Network,8,16,37.5,62.5,16.43
Anaheim,CA,EVGATEWAY,2,16,0.0,100.0,18.43
Norwalk,CA,Tesla,1,16,100.0,0.0,16.0
Santa Rosa,CA,LOOP,2,16,0.0,100.0,18.29
Selma,CA,Tesla,1,16,100.0,0.0,16.0
Marin City,CA,Tesla,1,16,100.0,0.0,16.0
Pleasanton,CA,eVgo Network,4,16,56.25,43.75,17.43
Madera,CA,Tesla,1,16,100.0,0.0,16.0
Cypress,CA,Tesla,1,16,100.0,0.0,16.0
Santa Maria,CA,Tesla Destination,3,16,0.0,100.0,16.57
San Dimas,CA,ChargePoint Network,8,16,0.0,100.0,16.29
Pinole,CA,Tesla,1,16,100.0,0.0,16.0
Oakhurst,CA,Tesla,2,16,100.0,0.0,16.0
Yucca Valley,CA,Tesla,1,16,100.0,0.0,16.0
Moorpark,CA,ChargePoint Network,8,16,0.0,100.0,16.14
Pleasanton,CA,OpConnect,2,16,0.0,100.0,41.0
Martinez,CA,Tesla,1,16,100.0,0.0,16.0
Covina,CA,eVgo Network,1,16,100.0,0.0,17.14
La Verne,CA,ChargePoint Network,9,16,0.0,100.0,16.0
Brentwood,CA,eVgo Network,2,16,100.0,0.0,16.86
Sierra Madre,CA,Tesla,1,16,100.0,0.0,16.0
Capitola,CA,Tesla,1,16,100.0,0.0,16.0
Scott's Valley,CA,Tesla,1,16,100.0,0.0,16.0
Huntington Beach,CA,EVGATEWAY,1,16,0.0,100.0,17.86
Santa Cruz,CA,Tesla,1,16,100.0,0.0,16.0
Redding,CA,BP_PULSE,2,16,100.0,0.0,29.33
Sacramento,CA,EVGATEWAY,2,16,100.0,0.0,17.29
Vista,CA,Electrify America,4,16,93.75,6.25,19.14
Chino Hills,CA,Tesla,1,16,100.0,0.0,16.0
Benicia,CA,Tesla,1,16,100.0,0.0,16.0
Delano,CA,EVGATEWAY,2,16,0.0,100.0,16.86
Lathrop,CA,EVCS,2,15,80.0,20.0,18.71
Carson,CA,Blink Network,3,15,0.0,100.0,17.14
Carmel,CA,Tesla Destination,4,15,0.0,100.0,16.29
Berkeley,CA,eVgo Network,3,15,93.33,6.67,16.43
Santa Ana,CA,EV Connect,2,15,80.0,20.0,18.71
Watsonville,CA,Blink Network,6,15,0.0,100.0,16.57
Baywood-Los Osos,CA,Tesla,1,15,100.0,0.0,15.86
Hercules,CA,Electrify America,2,15,93.33,6.67,18.14
Big Bear Lake,CA,ChargePoint Network,5,15,6.67,93.33,15.86
Blue Lake,CA,ChargePoint Network,8,15,0.0,100.0,15.71
Sunnyvale,CA,EVMATCH,3,15,0.0,100.0,16.5
Adelanto,CA,EVGATEWAY,1,15,0.0,100.0,16.43
Folsom,CA,eVgo Network,2,15,93.33,6.67,16.0
Agoura Hills,CA,ChargePoint Network,9,15,0.0,100.0,15.57
Monrovia,CA,OpConnect,2,15,0.0,100.0,36.67
Sonoma,CA,ChargePoint Network,13,15,33.33,66.67,15.43
Blythe,CA,ChargePoint Network,9,15,13.33,86.67,15.29
Livermore,CA,Non-Networked,3,15,0.0,100.0,16.43
Long Beach,CA,Blink Network,4,15,0.0,100.0,16.0
San Dimas,CA,Non-Networked,5,15,0.0,100.0,16.0
Roseville,CA,EV Connect,2,15,80.0,20.0,17.43
Murrieta,CA,Electrify America,2,15,93.33,6.67,17.29
Santa Clarita,CA,POWERFLEX,2,15,0.0,100.0,18.14
Daly City,CA,Blink Network,1,15,0.0,100.0,15.57
Soledad,CA,Tesla,2,15,100.0,0.0,15.71
Valley Village,CA,NOODOE,1,15,0.0,100.0,19.57
Millbrae,CA,eVgo Network,4,15,100.0,0.0,15.57
Roseville,CA,Blink Network,5,14,14.29,85.71,15.14
Templeton,CA,Tesla Destination,6,14,0.0,100.0,15.86
Napa,CA,Electrify America,2,14,100.0,0.0,16.43
Irvine,CA,Non-Networked,6,14,7.14,92.86,15.57
Signal Hill,CA,ChargePoint Network,10,14,0.0,100.0,15.0
Sand City,CA,ChargePoint Network,7,14,0.0,100.0,14.71
Bellflower,CA,eVgo Network,2,14,100.0,0.0,15.29
Clovis,CA,Non-Networked,5,14,0.0,100.0,15.14
Hermosa Beach,CA,TURNONGREEN,1,14,0.0,100.0,14.0
Morgan Hill,CA,Tesla,1,14,100.0,0.0,15.43
Merced,CA,ChargePoint Network,9,14,7.14,92.86,14.57
Oakland,CA,VIALYNK,1,14,0.0,100.0,34.25
Greenbrae,CA,Tesla,1,14,100.0,0.0,15.14
San Francisco,CA,RIVIAN_WAYPOINTS,5,14,0.0,100.0,22.5
Oak Park,CA,Tesla Destination,1,14,0.0,100.0,15.43
Healdsburg,CA,Non-Networked,3,14,0.0,100.0,14.86
Chino,CA,ChargePoint Network,12,14,0.0,100.0,14.43
Madera,CA,Non-Networked,2,14,100.0,0.0,14.57
Monterey,CA,Tesla,1,14,100.0,0.0,14.86
Seaside,CA,ChargePoint Network,7,14,0.0,100.0,14.29
Anaheim,CA,eVgo Network,3,14,92.86,7.14,15.0
Fairfield,CA,NOODOE,1,14,28.57,71.43,17.0
Playa Vista,CA,Tesla,1,14,100.0,0.0,14.57
Pismo Beach,CA,Tesla Destination,7,14,0.0,100.0,15.0
Pismo Beach,CA,ChargePoint Network,7,14,0.0,100.0,14.14
South Pasadena,CA,ChargePoint Network,8,14,0.0,100.0,14.0
Saratoga,CA,ChargePoint Network,8,14,7.14,92.86,14.0
Carson,CA,Non-Networked,5,14,7.14,92.86,14.29
Temecula,CA,Tesla Destination,4,14,0.0,100.0,14.71
Bakersfield,CA,EVCS,2,14,92.86,7.14,17.57
Chico,CA,AMPUP,1,14,0.0,100.0,105.8
El Cerrito,CA,Tesla,1,14,100.0,0.0,14.29
Costa Mesa,CA,Tesla Destination,4,14,0.0,100.0,14.43
Chula Vista,CA,Tesla Destination,4,14,0.0,100.0,14.14
Salinas,CA,Blink Network,2,14,0.0,100.0,14.86
Carlsbad,CA,Non-Networked,1,14,0.0,100.0,14.14
Larkspur,CA,IONNA,1,14,100.0,0.0,15.0
Pauma Valley,CA,CHARGELAB,2,14,28.57,71.43,25.17
Mountain View,CA,eVgo Network,3,14,100.0,0.0,14.71
