city,state,ev_network,total_stations,total_level1_ports,total_level2_ports,total_dc_fast_ports,total_ports,avg_ports_per_station,dc_fast_pct,level2_pct,created_at
Burbank,CA,ChargePoint Network,98,0,172,3,175,1.79,1.71,98.29,2026-06-21 21:47:05.311903+00
San Luis Obispo,CA,ChargePoint Network,97,0,167,8,175,1.80,4.57,95.43,2026-06-21 21:47:05.311903+00
Riverside,CA,ChargePoint Network,94,0,166,6,172,1.83,3.49,96.51,2026-06-21 21:47:05.311903+00
Sacramento,CA,Tesla,11,0,0,169,169,15.36,100.00,0.00,2026-06-21 21:47:05.311903+00
Irvine,CA,NOODOE,4,0,168,0,168,42.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Newport Beach,CA,ChargePoint Network,97,0,159,3,162,1.67,1.85,98.15,2026-06-21 21:47:05.311903+00
Napa,CA,ChargePoint Network,84,0,153,1,154,1.83,0.65,99.35,2026-06-21 21:47:05.311903+00
Los Angeles,CA,EVGATEWAY,10,0,130,20,150,15.00,13.33,86.67,2026-06-21 21:47:05.311903+00
Oakland,CA,FLASH,7,0,149,0,149,21.29,0.00,100.00,2026-06-21 21:47:05.311903+00
Costa Mesa,CA,ChargePoint Network,85,0,140,6,146,1.72,4.11,95.89,2026-06-21 21:47:05.311903+00
City of Industry,CA,ChargePoint Network,76,0,143,1,144,1.89,0.69,99.31,2026-06-21 21:47:05.311903+00
Elk Grove,CA,ChargePoint Network,81,0,133,10,143,1.77,6.99,93.01,2026-06-21 21:47:05.311903+00
Saratoga,CA,POWERFLEX,7,0,132,8,140,20.00,5.71,94.29,2026-06-21 21:47:05.311903+00
Orange,CA,ChargePoint Network,77,0,135,4,139,1.81,2.88,97.12,2026-06-21 21:47:05.311903+00
Carson,CA,ChargePoint Network,81,0,137,0,137,1.69,0.00,100.00,2026-06-21 21:47:05.311903+00
San Bernardino,CA,LOOP,5,0,136,0,136,27.20,0.00,100.00,2026-06-21 21:47:05.311903+00
Pasadena,CA,POWERFLEX,10,0,113,22,135,13.50,16.30,83.70,2026-06-21 21:47:05.311903+00
Culver City,CA,ChargePoint Network,69,0,132,0,132,1.91,0.00,100.00,2026-06-21 21:47:05.311903+00
Los Angeles,CA,Tesla Destination,39,0,127,0,127,3.26,0.00,100.00,2026-06-21 21:47:05.311903+00
San Mateo,CA,Tesla,7,0,0,124,124,17.71,100.00,0.00,2026-06-21 21:47:05.311903+00
Anaheim,CA,Tesla,7,0,0,124,124,17.71,100.00,0.00,2026-06-21 21:47:05.311903+00
Bakersfield,CA,ChargePoint Network,83,0,115,7,122,1.47,5.74,94.26,2026-06-21 21:47:05.311903+00
San Diego,CA,Tesla Destination,27,0,120,0,120,4.44,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Rosa,CA,ChargePoint Network,69,0,118,2,120,1.74,1.67,98.33,2026-06-21 21:47:05.311903+00
San Francisco,CA,Non-Networked,15,74,44,1,119,7.93,0.84,36.97,2026-06-21 21:47:05.311903+00
Santa Barbara,CA,ChargePoint Network,62,0,112,4,116,1.87,3.45,96.55,2026-06-21 21:47:05.311903+00
San Rafael,CA,ChargePoint Network,59,0,115,0,115,1.95,0.00,100.00,2026-06-21 21:47:05.311903+00
Sacramento,CA,OpConnect,13,0,115,0,115,8.85,0.00,100.00,2026-06-21 21:47:05.311903+00
San Diego,CA,LOOP,9,0,114,0,114,12.67,0.00,100.00,2026-06-21 21:47:05.311903+00
Sacramento,CA,eVgo Network,16,0,0,110,110,6.88,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Ana,CA,ChargePoint Network,62,0,103,6,109,1.76,5.50,94.50,2026-06-21 21:47:05.311903+00
Stanford,CA,ChargePoint Network,55,0,108,0,108,1.96,0.00,100.00,2026-06-21 21:47:05.311903+00
Baker,CA,Tesla,2,0,0,108,108,54.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Palo Alto,CA,POWERFLEX,9,0,105,2,107,11.89,1.87,98.13,2026-06-21 21:47:05.311903+00
Marina Del Rey,CA,POWERFLEX,5,0,107,0,107,21.40,0.00,100.00,2026-06-21 21:47:05.311903+00
El Cajon,CA,ChargePoint Network,61,0,103,3,106,1.74,2.83,97.17,2026-06-21 21:47:05.311903+00
West Hollywood,CA,ChargePoint Network,64,0,106,0,106,1.66,0.00,100.00,2026-06-21 21:47:05.311903+00
Universal City,CA,ChargePoint Network,54,0,106,0,106,1.96,0.00,100.00,2026-06-21 21:47:05.311903+00
Los Angeles,CA,NOODOE,8,0,105,0,105,13.13,0.00,100.00,2026-06-21 21:47:05.311903+00
Milpitas,CA,Tesla,7,0,0,105,105,15.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Irvine,CA,Tesla,6,0,0,104,104,17.33,100.00,0.00,2026-06-21 21:47:05.311903+00
Davis,CA,Non-Networked,22,14,89,1,104,4.73,0.96,85.58,2026-06-21 21:47:05.311903+00
Lost Hills,CA,Tesla,2,0,0,104,104,52.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Culver City,CA,Blink Network,16,0,94,6,100,6.25,6.00,94.00,2026-06-21 21:47:05.311903+00
Sacramento,CA,EV Connect,5,0,99,0,99,19.80,0.00,100.00,2026-06-21 21:47:05.311903+00
Walnut Creek,CA,ChargePoint Network,54,0,98,0,98,1.81,0.00,100.00,2026-06-21 21:47:05.311903+00
Coalinga,CA,Tesla,2,0,0,98,98,49.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Dublin,CA,ChargePoint Network,57,0,93,5,98,1.72,5.10,94.90,2026-06-21 21:47:05.311903+00
Berkeley,CA,ChargePoint Network,57,0,97,0,97,1.70,0.00,100.00,2026-06-21 21:47:05.311903+00
Livermore,CA,Tesla,5,0,0,96,96,19.20,100.00,0.00,2026-06-21 21:47:05.311903+00
San Diego,CA,eVgo Network,16,0,2,94,96,6.00,97.92,2.08,2026-06-21 21:47:05.311903+00
San Diego,CA,EVGATEWAY,2,0,95,1,96,48.00,1.04,98.96,2026-06-21 21:47:05.311903+00
Milpitas,CA,ChargePoint Network,62,0,94,1,95,1.53,1.05,98.95,2026-06-21 21:47:05.311903+00
Beverly Hills,CA,ChargePoint Network,55,0,95,0,95,1.73,0.00,100.00,2026-06-21 21:47:05.311903+00
Kettleman City,CA,Tesla,2,0,0,95,95,47.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Pleasanton,CA,ChargePoint Network,61,0,94,0,94,1.54,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Monica,CA,Tesla,3,0,0,94,94,31.33,100.00,0.00,2026-06-21 21:47:05.311903+00
Ontario,CA,Tesla,5,0,0,92,92,18.40,100.00,0.00,2026-06-21 21:47:05.311903+00
Thousand Oaks,CA,EVGATEWAY,4,0,84,8,92,23.00,8.70,91.30,2026-06-21 21:47:05.311903+00
Pasadena,CA,Tesla,5,0,0,92,92,18.40,100.00,0.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,Blink Network,30,0,92,0,92,3.07,0.00,100.00,2026-06-21 21:47:05.311903+00
Long Beach,CA,LOOP,5,0,91,0,91,18.20,0.00,100.00,2026-06-21 21:47:05.311903+00
Malibu,CA,ChargePoint Network,53,0,91,0,91,1.72,0.00,100.00,2026-06-21 21:47:05.311903+00
Carlsbad,CA,ChargePoint Network,49,0,90,0,90,1.84,0.00,100.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,Tesla Destination,24,0,89,0,89,3.71,0.00,100.00,2026-06-21 21:47:05.311903+00
Oceanside,CA,ChargePoint Network,53,0,87,2,89,1.68,2.25,97.75,2026-06-21 21:47:05.311903+00
Stockton,CA,EVCS,10,0,72,17,89,8.90,19.10,80.90,2026-06-21 21:47:05.311903+00
San Jose,CA,Non-Networked,8,0,86,2,88,11.00,2.27,97.73,2026-06-21 21:47:05.311903+00
Sacramento,CA,LOOP,7,0,86,2,88,12.57,2.27,97.73,2026-06-21 21:47:05.311903+00
Paso Robles,CA,Tesla Destination,36,0,88,0,88,2.44,0.00,100.00,2026-06-21 21:47:05.311903+00
Cypress,CA,ChargePoint Network,51,0,87,0,87,1.71,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Monica,CA,FLASH,8,0,87,0,87,10.88,0.00,100.00,2026-06-21 21:47:05.311903+00
San Jose,CA,Tesla Destination,12,0,85,0,85,7.08,0.00,100.00,2026-06-21 21:47:05.311903+00
San Ramon,CA,Tesla,5,0,0,84,84,16.80,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Monica,CA,Non-Networked,13,0,82,2,84,6.46,2.38,97.62,2026-06-21 21:47:05.311903+00
El Segundo,CA,ChargePoint Network,46,0,84,0,84,1.83,0.00,100.00,2026-06-21 21:47:05.311903+00
Roseville,CA,Tesla,5,0,0,83,83,16.60,100.00,0.00,2026-06-21 21:47:05.311903+00
Bakersfield,CA,Tesla,6,0,0,82,82,13.67,100.00,0.00,2026-06-21 21:47:05.311903+00
Escondido,CA,LOOP,7,0,82,0,82,11.71,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Clarita,CA,ChargePoint Network,49,0,77,4,81,1.65,4.94,95.06,2026-06-21 21:47:05.311903+00
Diamond Bar,CA,ChargePoint Network,48,0,81,0,81,1.69,0.00,100.00,2026-06-21 21:47:05.311903+00
Vacaville,CA,Tesla,5,0,0,80,80,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,Tesla,5,0,0,80,80,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Fremont,CA,Tesla,7,0,0,80,80,11.43,100.00,0.00,2026-06-21 21:47:05.311903+00
Pasadena,CA,ChargePoint Network,41,0,78,0,78,1.90,0.00,100.00,2026-06-21 21:47:05.311903+00
Alameda,CA,ChargePoint Network,41,0,78,0,78,1.90,0.00,100.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,eVgo Network,12,0,1,76,77,6.42,98.70,1.30,2026-06-21 21:47:05.311903+00
Downey,CA,POWERFLEX,3,0,76,0,76,25.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Dublin,CA,Tesla,6,0,0,76,76,12.67,100.00,0.00,2026-06-21 21:47:05.311903+00
Arvin,CA,Tesla,1,0,0,76,76,76.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Campbell,CA,ChargePoint Network,43,0,67,8,75,1.74,10.67,89.33,2026-06-21 21:47:05.311903+00
San Diego,CA,Electrify America,13,0,4,70,74,5.69,94.59,5.41,2026-06-21 21:47:05.311903+00
Los Altos,CA,Non-Networked,4,0,73,1,74,18.50,1.35,98.65,2026-06-21 21:47:05.311903+00
Livermore,CA,ChargePoint Network,41,0,74,0,74,1.80,0.00,100.00,2026-06-21 21:47:05.311903+00
San Ramon,CA,EV Connect,4,0,74,0,74,18.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Pleasanton,CA,Tesla,5,0,0,74,74,14.80,100.00,0.00,2026-06-21 21:47:05.311903+00
San Diego,CA,Non-Networked,11,0,72,0,72,6.55,0.00,100.00,2026-06-21 21:47:05.311903+00
Brisbane,CA,ChargePoint Network,39,0,71,0,71,1.82,0.00,100.00,2026-06-21 21:47:05.311903+00
Moreno Valley,CA,ChargePoint Network,39,0,66,4,70,1.79,5.71,94.29,2026-06-21 21:47:05.311903+00
Tustin,CA,ChargePoint Network,39,0,68,2,70,1.79,2.86,97.14,2026-06-21 21:47:05.311903+00
Glendale,CA,ChargePoint Network,37,0,70,0,70,1.89,0.00,100.00,2026-06-21 21:47:05.311903+00
Rohnert Park,CA,ChargePoint Network,41,0,64,6,70,1.71,8.57,91.43,2026-06-21 21:47:05.311903+00
Chula Vista,CA,Tesla,5,0,0,68,68,13.60,100.00,0.00,2026-06-21 21:47:05.311903+00
Gilroy,CA,Tesla,4,0,0,68,68,17.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Redding,CA,Tesla,3,0,0,68,68,22.67,100.00,0.00,2026-06-21 21:47:05.311903+00
Costa Mesa,CA,Tesla,4,0,0,68,68,17.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Manteca,CA,ChargePoint Network,42,0,67,0,67,1.60,0.00,100.00,2026-06-21 21:47:05.311903+00
Anaheim,CA,LOOP,9,0,67,0,67,7.44,0.00,100.00,2026-06-21 21:47:05.311903+00
San Jose,CA,eVgo Network,12,0,0,66,66,5.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Mountain View,CA,POWERFLEX,3,0,66,0,66,22.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Cupertino,CA,POWERFLEX,4,0,58,8,66,16.50,12.12,87.88,2026-06-21 21:47:05.311903+00
Temecula,CA,Tesla,5,0,0,66,66,13.20,100.00,0.00,2026-06-21 21:47:05.311903+00
San Clemente,CA,Tesla,2,0,0,65,65,32.50,100.00,0.00,2026-06-21 21:47:05.311903+00
West Covina,CA,LOOP,2,0,63,2,65,32.50,3.08,96.92,2026-06-21 21:47:05.311903+00
Folsom,CA,ChargePoint Network,37,0,62,2,64,1.73,3.13,96.88,2026-06-21 21:47:05.311903+00
Montebello,CA,Tesla,1,0,0,64,64,64.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Fairfield,CA,Tesla,6,0,0,64,64,10.67,100.00,0.00,2026-06-21 21:47:05.311903+00
Napa,CA,Tesla Destination,22,0,64,0,64,2.91,0.00,100.00,2026-06-21 21:47:05.311903+00
Upland,CA,Tesla,1,0,0,64,64,64.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Oceanside,CA,Tesla,3,0,0,64,64,21.33,100.00,0.00,2026-06-21 21:47:05.311903+00
Inglewood,CA,ChargePoint Network,37,0,63,0,63,1.70,0.00,100.00,2026-06-21 21:47:05.311903+00
Walnut,CA,ChargePoint Network,37,0,63,0,63,1.70,0.00,100.00,2026-06-21 21:47:05.311903+00
Tustin,CA,Tesla,4,0,0,63,63,15.75,100.00,0.00,2026-06-21 21:47:05.311903+00
Sacramento,CA,Electrify America,12,0,3,59,62,5.17,95.16,4.84,2026-06-21 21:47:05.311903+00
Sacramento,CA,POWERFLEX,2,0,62,0,62,31.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lebec,CA,Tesla,2,0,0,62,62,31.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Yermo,CA,Tesla,2,0,0,62,62,31.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pomona,CA,Non-Networked,2,24,38,0,62,31.00,0.00,61.29,2026-06-21 21:47:05.311903+00
Newark,CA,Tesla,4,0,0,62,62,15.50,100.00,0.00,2026-06-21 21:47:05.311903+00
La Jolla,CA,ChargePoint Network,38,0,52,10,62,1.63,16.13,83.87,2026-06-21 21:47:05.311903+00
Commerce,CA,Tesla,2,0,0,60,60,30.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Petaluma,CA,POWERFLEX,6,0,60,0,60,10.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Roseville,CA,ChargePoint Network,33,0,60,0,60,1.82,0.00,100.00,2026-06-21 21:47:05.311903+00
Walnut Creek,CA,Tesla,4,0,0,60,60,15.00,100.00,0.00,2026-06-21 21:47:05.311903+00
West Covina,CA,Tesla,3,0,0,60,60,20.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Irvine,CA,LOOP,10,0,53,6,59,5.90,10.17,89.83,2026-06-21 21:47:05.311903+00
Los Angeles,CA,AUTEL,2,0,40,18,58,29.00,31.03,68.97,2026-06-21 21:47:05.311903+00
Fresno,CA,Tesla,5,0,0,58,58,11.60,100.00,0.00,2026-06-21 21:47:05.311903+00
Dublin,CA,LOOP,1,0,58,0,58,58.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Larkspur,CA,ChargePoint Network,32,0,57,0,57,1.78,0.00,100.00,2026-06-21 21:47:05.311903+00
Palm Desert,CA,Non-Networked,2,0,57,0,57,28.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Fresno,CA,EVCS,8,0,32,25,57,7.13,43.86,56.14,2026-06-21 21:47:05.311903+00
Santa Maria,CA,ChargePoint Network,31,0,53,4,57,1.84,7.02,92.98,2026-06-21 21:47:05.311903+00
Solana Beach,CA,ChargePoint Network,29,0,57,0,57,1.97,0.00,100.00,2026-06-21 21:47:05.311903+00
Westlake Village,CA,ChargePoint Network,33,0,57,0,57,1.73,0.00,100.00,2026-06-21 21:47:05.311903+00
Escondido,CA,ChargePoint Network,34,0,57,0,57,1.68,0.00,100.00,2026-06-21 21:47:05.311903+00
Camarillo,CA,ChargePoint Network,34,0,57,0,57,1.68,0.00,100.00,2026-06-21 21:47:05.311903+00
Oxnard,CA,ChargePoint Network,32,0,51,5,56,1.75,8.93,91.07,2026-06-21 21:47:05.311903+00
Firebaugh,CA,Tesla,1,0,0,56,56,56.00,100.00,0.00,2026-06-21 21:47:05.311903+00
St. Helena,CA,Tesla Destination,25,0,56,0,56,2.24,0.00,100.00,2026-06-21 21:47:05.311903+00
Mojave,CA,Tesla,4,0,0,56,56,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Mountain View,CA,Tesla,3,0,0,56,56,18.67,100.00,0.00,2026-06-21 21:47:05.311903+00
Bakersfield,CA,LOOP,11,0,56,0,56,5.09,0.00,100.00,2026-06-21 21:47:05.311903+00
Vallejo,CA,Tesla,4,0,0,56,56,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Dunnigan,CA,Tesla,2,0,0,56,56,28.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Huntington Beach,CA,ChargePoint Network,30,0,54,1,55,1.83,1.82,98.18,2026-06-21 21:47:05.311903+00
Daly City,CA,Tesla,2,0,0,55,55,27.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Chula Vista,CA,ChargePoint Network,35,0,49,5,54,1.54,9.26,90.74,2026-06-21 21:47:05.311903+00
Hanford,CA,ChargePoint Network,38,0,54,0,54,1.42,0.00,100.00,2026-06-21 21:47:05.311903+00
Glendale,CA,VIALYNK,6,0,54,0,54,9.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Costa Mesa,CA,EVIUM,1,0,54,0,54,54.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Temecula,CA,Blink Network,1,0,54,0,54,54.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Luis Obispo,CA,Tesla,3,0,0,54,54,18.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Temecula,CA,ChargePoint Network,28,0,54,0,54,1.93,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Clara,CA,Blink Network,3,0,53,0,53,17.67,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Clara,CA,POWERFLEX,2,0,45,8,53,26.50,15.09,84.91,2026-06-21 21:47:05.311903+00
Santa Cruz,CA,ChargePoint Network,29,0,52,1,53,1.83,1.89,98.11,2026-06-21 21:47:05.311903+00
Healdsburg,CA,Tesla Destination,22,0,53,0,53,2.41,0.00,100.00,2026-06-21 21:47:05.311903+00
San Bruno,CA,Tesla,3,0,0,52,52,17.33,100.00,0.00,2026-06-21 21:47:05.311903+00
El Centro,CA,Tesla,3,0,0,52,52,17.33,100.00,0.00,2026-06-21 21:47:05.311903+00
Victorville,CA,Tesla,3,0,0,52,52,17.33,100.00,0.00,2026-06-21 21:47:05.311903+00
Buena Park,CA,Tesla,2,0,0,52,52,26.00,100.00,0.00,2026-06-21 21:47:05.311903+00
SF,CA,Blink Network,12,0,52,0,52,4.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Claremont,CA,ChargePoint Network,28,0,52,0,52,1.86,0.00,100.00,2026-06-21 21:47:05.311903+00
Burbank,CA,Tesla,3,0,0,52,52,17.33,100.00,0.00,2026-06-21 21:47:05.311903+00
