city,state,ev_network,total_stations,total_level1_ports,total_level2_ports,total_dc_fast_ports,total_ports,avg_ports_per_station,dc_fast_pct,level2_pct,created_at
Norwalk,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Rosa,CA,LOOP,2,0,16,0,16,8.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Madera,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Vista,CA,Electrify America,4,0,1,15,16,4.00,93.75,6.25,2026-06-21 21:47:05.311903+00
Selma,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pleasanton,CA,eVgo Network,4,0,7,9,16,4.00,56.25,43.75,2026-06-21 21:47:05.311903+00
Baldwin Park,CA,EVCS,1,0,12,4,16,16.00,25.00,75.00,2026-06-21 21:47:05.311903+00
Traver,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Truckee,CA,ChargePoint Network,11,0,14,2,16,1.45,12.50,87.50,2026-06-21 21:47:05.311903+00
Marin City,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Altos Hills,CA,POWERFLEX,1,0,16,0,16,16.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Torrance,CA,NOODOE,1,0,16,0,16,16.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Azusa,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Folsom,CA,Blink Network,3,0,16,0,16,5.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Olancha,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lone Pine,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
La Mesa,CA,ChargePoint Network,9,0,16,0,16,1.78,0.00,100.00,2026-06-21 21:47:05.311903+00
Palm Desert,CA,LOOP,3,0,16,0,16,5.33,0.00,100.00,2026-06-21 21:47:05.311903+00
La Jolla,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Sierra Madre,CA,Tesla,1,0,0,16,16,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Huntington Beach,CA,EVGATEWAY,1,0,16,0,16,16.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hercules,CA,Electrify America,2,0,1,14,15,7.50,93.33,6.67,2026-06-21 21:47:05.311903+00
Agoura Hills,CA,ChargePoint Network,9,0,15,0,15,1.67,0.00,100.00,2026-06-21 21:47:05.311903+00
Roseville,CA,EV Connect,2,0,3,12,15,7.50,80.00,20.00,2026-06-21 21:47:05.311903+00
Apple Valley,CA,ChargePoint Network,8,0,15,0,15,1.88,0.00,100.00,2026-06-21 21:47:05.311903+00
Daly City,CA,Blink Network,1,0,15,0,15,15.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Blythe,CA,ChargePoint Network,9,0,13,2,15,1.67,13.33,86.67,2026-06-21 21:47:05.311903+00
Adelanto,CA,EVGATEWAY,1,0,15,0,15,15.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Monrovia,CA,OpConnect,2,0,15,0,15,7.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Clarita,CA,POWERFLEX,2,0,15,0,15,7.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Lathrop,CA,EVCS,2,0,3,12,15,7.50,80.00,20.00,2026-06-21 21:47:05.311903+00
Santa Ana,CA,EV Connect,2,0,3,12,15,7.50,80.00,20.00,2026-06-21 21:47:05.311903+00
Folsom,CA,eVgo Network,2,0,1,14,15,7.50,93.33,6.67,2026-06-21 21:47:05.311903+00
Livermore,CA,Non-Networked,3,0,15,0,15,5.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Blue Lake,CA,ChargePoint Network,8,0,15,0,15,1.88,0.00,100.00,2026-06-21 21:47:05.311903+00
Watsonville,CA,Blink Network,6,0,15,0,15,2.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Soledad,CA,Tesla,2,0,0,15,15,7.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Sonoma,CA,ChargePoint Network,13,0,10,5,15,1.15,33.33,66.67,2026-06-21 21:47:05.311903+00
Long Beach,CA,Blink Network,4,0,15,0,15,3.75,0.00,100.00,2026-06-21 21:47:05.311903+00
Millbrae,CA,eVgo Network,4,0,0,15,15,3.75,100.00,0.00,2026-06-21 21:47:05.311903+00
Big Bear Lake,CA,ChargePoint Network,5,0,14,1,15,3.00,6.67,93.33,2026-06-21 21:47:05.311903+00
Baywood-Los Osos,CA,Tesla,1,0,0,15,15,15.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Sunnyvale,CA,EVMATCH,3,0,15,0,15,5.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carmel,CA,Tesla Destination,4,0,15,0,15,3.75,0.00,100.00,2026-06-21 21:47:05.311903+00
Murrieta,CA,Electrify America,2,0,1,14,15,7.50,93.33,6.67,2026-06-21 21:47:05.311903+00
San Dimas,CA,Non-Networked,5,0,15,0,15,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carson,CA,Blink Network,3,0,15,0,15,5.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Valley Village,CA,NOODOE,1,0,15,0,15,15.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Salinas,CA,Blink Network,2,0,14,0,14,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Corona,CA,Tesla Destination,4,0,14,0,14,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Clovis,CA,Non-Networked,5,0,14,0,14,2.80,0.00,100.00,2026-06-21 21:47:05.311903+00
San Bernardino,CA,EVGATEWAY,2,0,14,0,14,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carson,CA,Non-Networked,5,0,13,1,14,2.80,7.14,92.86,2026-06-21 21:47:05.311903+00
Belvedere Tiburon,CA,ChargePoint Network,7,0,14,0,14,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Greenbrae,CA,Tesla,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Seaside,CA,Tesla,2,0,0,14,14,7.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Clara,CA,Electrify America,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
El Cerrito,CA,Tesla,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Irvine,CA,Non-Networked,6,0,13,1,14,2.33,7.14,92.86,2026-06-21 21:47:05.311903+00
Templeton,CA,Tesla Destination,6,0,14,0,14,2.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Saratoga,CA,ChargePoint Network,8,0,13,1,14,1.75,7.14,92.86,2026-06-21 21:47:05.311903+00
Playa Vista,CA,Tesla,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Carlsbad,CA,Non-Networked,1,0,14,0,14,14.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,RIVIAN_WAYPOINTS,5,0,14,0,14,2.80,0.00,100.00,2026-06-21 21:47:05.311903+00
Sebastopol,CA,ChargePoint Network,9,0,14,0,14,1.56,0.00,100.00,2026-06-21 21:47:05.311903+00
Pismo Beach,CA,ChargePoint Network,7,0,14,0,14,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Temecula,CA,Tesla Destination,4,0,14,0,14,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Sylmar,CA,POWERFLEX,1,0,14,0,14,14.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Oakland,CA,VIALYNK,1,0,14,0,14,14.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Chico,CA,AMPUP,1,0,14,0,14,14.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Bakersfield,CA,EVCS,2,0,1,13,14,7.00,92.86,7.14,2026-06-21 21:47:05.311903+00
Hermosa Beach,CA,TURNONGREEN,1,0,14,0,14,14.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Clemente,CA,SHELL_RECHARGE,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Signal Hill,CA,ChargePoint Network,10,0,14,0,14,1.40,0.00,100.00,2026-06-21 21:47:05.311903+00
Sand City,CA,ChargePoint Network,7,0,14,0,14,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hollywood,CA,Non-Networked,3,0,6,8,14,4.67,57.14,42.86,2026-06-21 21:47:05.311903+00
Bellflower,CA,eVgo Network,2,0,0,14,14,7.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Oakland,CA,Blink Network,3,0,14,0,14,4.67,0.00,100.00,2026-06-21 21:47:05.311903+00
Healdsburg,CA,Non-Networked,3,0,14,0,14,4.67,0.00,100.00,2026-06-21 21:47:05.311903+00
Fairfield,CA,NOODOE,1,0,10,4,14,14.00,28.57,71.43,2026-06-21 21:47:05.311903+00
Chula Vista,CA,Tesla Destination,4,0,14,0,14,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Costa Mesa,CA,Tesla Destination,4,0,14,0,14,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Seaside,CA,ChargePoint Network,7,0,14,0,14,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
South Pasadena,CA,ChargePoint Network,8,0,14,0,14,1.75,0.00,100.00,2026-06-21 21:47:05.311903+00
Chino,CA,ChargePoint Network,12,0,14,0,14,1.17,0.00,100.00,2026-06-21 21:47:05.311903+00
Windsor,CA,Tesla Destination,4,0,14,0,14,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Anaheim,CA,Electrify America,2,0,0,14,14,7.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Manteca,CA,eVgo Network,2,0,0,14,14,7.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Larkspur,CA,IONNA,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
La Habra,CA,ChargePoint Network,8,0,12,2,14,1.75,14.29,85.71,2026-06-21 21:47:05.311903+00
Madera,CA,Non-Networked,2,0,0,14,14,7.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Mountain View,CA,eVgo Network,3,0,0,14,14,4.67,100.00,0.00,2026-06-21 21:47:05.311903+00
Merced,CA,ChargePoint Network,9,0,13,1,14,1.56,7.14,92.86,2026-06-21 21:47:05.311903+00
San Fernando,CA,ChargePoint Network,7,0,14,0,14,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Napa,CA,Electrify America,2,0,0,14,14,7.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pismo Beach,CA,Tesla Destination,7,0,14,0,14,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Roseville,CA,Blink Network,5,0,12,2,14,2.80,14.29,85.71,2026-06-21 21:47:05.311903+00
Morgan Hill,CA,Tesla,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Monterey,CA,Tesla,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Manhattan Beach,CA,eVgo Network,4,0,0,14,14,3.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Loomis,CA,Electrify America,1,0,0,14,14,14.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Anaheim,CA,eVgo Network,3,0,1,13,14,4.67,92.86,7.14,2026-06-21 21:47:05.311903+00
Oak Park,CA,Tesla Destination,1,0,14,0,14,14.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Irvine,CA,Electrify America,3,0,0,14,14,4.67,100.00,0.00,2026-06-21 21:47:05.311903+00
Brea,CA,Non-Networked,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Bakersfield,CA,EV Connect,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Woodland,CA,LOOP,3,0,13,0,13,4.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Petaluma,CA,EV Connect,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Emeryville,CA,Electrify America,2,0,0,13,13,6.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Plymouth,CA,Tesla Destination,5,0,13,0,13,2.60,0.00,100.00,2026-06-21 21:47:05.311903+00
Ontario,CA,Tesla Destination,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Laguna Woods,CA,ChargePoint Network,8,0,10,3,13,1.63,23.08,76.92,2026-06-21 21:47:05.311903+00
Redding,CA,LOOP,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Half Moon Bay,CA,ChargePoint Network,7,0,13,0,13,1.86,0.00,100.00,2026-06-21 21:47:05.311903+00
San Simeon,CA,Tesla Destination,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Sunnyvale,CA,EVGATEWAY,1,0,13,0,13,13.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Monterey,CA,Tesla Destination,6,0,13,0,13,2.17,0.00,100.00,2026-06-21 21:47:05.311903+00
Fullerton,CA,LOOP,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Lake Forest,CA,LOOP,1,0,13,0,13,13.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Cambria,CA,Tesla Destination,6,0,13,0,13,2.17,0.00,100.00,2026-06-21 21:47:05.311903+00
Livermore,CA,Electrify America,2,0,0,13,13,6.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Carmichael,CA,LOOP,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Moraga,CA,ChargePoint Network,7,0,13,0,13,1.86,0.00,100.00,2026-06-21 21:47:05.311903+00
Victorville,CA,eVgo Network,2,0,1,12,13,6.50,92.31,7.69,2026-06-21 21:47:05.311903+00
La Cañada Flintridge,CA,ChargePoint Network,9,0,13,0,13,1.44,0.00,100.00,2026-06-21 21:47:05.311903+00
San Diego,CA,EVCS,4,0,4,9,13,3.25,69.23,30.77,2026-06-21 21:47:05.311903+00
Downey,CA,eVgo Network,3,0,1,12,13,4.33,92.31,7.69,2026-06-21 21:47:05.311903+00
Irwindale,CA,Blink Network,1,0,13,0,13,13.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Indian Wells,CA,Tesla Destination,4,0,13,0,13,3.25,0.00,100.00,2026-06-21 21:47:05.311903+00
Menlo Park,CA,Tesla Destination,2,0,13,0,13,6.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Carmichael,CA,ChargePoint Network,7,0,13,0,13,1.86,0.00,100.00,2026-06-21 21:47:05.311903+00
Truckee,CA,EVRANGE,3,0,9,4,13,4.33,30.77,69.23,2026-06-21 21:47:05.311903+00
Newport Beach,CA,Blink Network,4,0,13,0,13,3.25,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Maria,CA,EVCS,2,0,4,9,13,6.50,69.23,30.77,2026-06-21 21:47:05.311903+00
Los Angeles,CA,EVMATCH,3,0,13,0,13,4.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Huntington Beach,CA,Blink Network,5,0,13,0,13,2.60,0.00,100.00,2026-06-21 21:47:05.311903+00
Alameda,CA,Blink Network,4,0,13,0,13,3.25,0.00,100.00,2026-06-21 21:47:05.311903+00
Baker,CA,Electrify America,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pasadena,CA,EVCS,1,0,4,8,12,12.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Hacienda Heights,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Las Banos,CA,EV Connect,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Oakville,CA,Tesla Destination,5,0,12,0,12,2.40,0.00,100.00,2026-06-21 21:47:05.311903+00
Norwalk,CA,Tesla Destination,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Burlingame,CA,POWERFLEX,2,0,0,12,12,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Rolling Hills Estates,CA,EV Connect,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Corning,CA,BP_PULSE,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Merced,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Joshua Tree,CA,RIVIAN_ADVENTURE,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lompoc,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Cerritos,CA,LOOP,1,0,10,2,12,12.00,16.67,83.33,2026-06-21 21:47:05.311903+00
Valley Springs,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Valley Center,CA,ChargePoint Network,7,0,12,0,12,1.71,0.00,100.00,2026-06-21 21:47:05.311903+00
Yreka,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Olympic Valley,CA,EVRANGE,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mountain View,CA,FLO,2,0,12,0,12,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Elk Grove,CA,eVgo Network,2,0,0,12,12,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pismo Beach,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Arcata,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Rialto,CA,eVgo Network,2,0,0,12,12,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Cottonwood,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Daly City,CA,ChargePoint Network,8,0,12,0,12,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Mariposa,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,BP_PULSE,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Azusa,CA,ChargePoint Network,6,0,12,0,12,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Marina,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Alameda,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Atwater,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Nella,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Del Mar,CA,ChargePoint Network,7,0,12,0,12,1.71,0.00,100.00,2026-06-21 21:47:05.311903+00
Ventura,CA,Electrify America,2,0,0,12,12,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Rohnert Park,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Livingston,CA,BP_PULSE,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lakeside,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Roseville,CA,Non-Networked,4,0,11,1,12,3.00,8.33,91.67,2026-06-21 21:47:05.311903+00
San Juan Bautista,CA,NAYAX_ENERGY,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Gonzales,CA,Blink Network,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Redwood City,CA,EVGATEWAY,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Rancho Murieta,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Colton,CA,VIALYNK,4,0,12,0,12,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Agoura Hills,CA,EV Connect,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Copperopolis,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Greenfield,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
El Dorado Hills,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Rosa,CA,Blink Network,3,0,12,0,12,4.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Windsor,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Rancho Mirage,CA,Tesla Destination,4,0,12,0,12,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Rocklin,CA,RIVIAN_ADVENTURE,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Coronado,CA,Non-Networked,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lomita,CA,POWERFLEX,2,0,12,0,12,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Cameron Park,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pollock Pines,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Palo Alto,CA,EVMATCH,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Gustine,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
La Mesa,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Northridge,CA,ChargePoint Network,6,0,12,0,12,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Burbank,CA,Tesla Destination,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Francisco,CA,SHELL_RECHARGE,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Cathedral City,CA,ChargePoint Network,6,0,12,0,12,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
El Cajon,CA,eVgo Network,2,0,0,12,12,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Calexico,CA,CHAEVI,1,0,4,8,12,12.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Mill Valley,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Alhambra,CA,EVCS,2,0,12,0,12,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Portola Valley,CA,POWERFLEX,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Chula Vista,CA,GO_TO_U,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Atascadero,CA,ChargePoint Network,7,0,12,0,12,1.71,0.00,100.00,2026-06-21 21:47:05.311903+00
Pacific Grove,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Bridgeport,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Cruz,CA,Blink Network,5,0,12,0,12,2.40,0.00,100.00,2026-06-21 21:47:05.311903+00
Moorpark,CA,eVgo Network,2,0,0,12,12,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Sebastopol,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Chowchilla,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Moreno Valley,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Aliso Viejo,CA,Blink Network,4,0,12,0,12,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Pacifica,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Ana,CA,ROVE,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Los Altos,CA,Tesla Destination,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Inglewood,CA,eVgo Network,3,0,0,12,12,4.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Manteca,CA,Electrify America,2,0,2,10,12,6.00,83.33,16.67,2026-06-21 21:47:05.311903+00
Desert Hot Springs,CA,ChargePoint Network,6,0,12,0,12,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Castaic,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
El Cerrito,CA,eVgo Network,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Newport Beach,CA,Tesla Destination,5,0,12,0,12,2.40,0.00,100.00,2026-06-21 21:47:05.311903+00
Union City,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Perris,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
West Covina,CA,ChargePoint Network,7,0,12,0,12,1.71,0.00,100.00,2026-06-21 21:47:05.311903+00
Ojai,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Orange,CA,RIVIAN_ADVENTURE,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Carmichael CA,CA,eVgo Network,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Clovis,CA,EVCS,2,0,0,12,12,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Yucca Valley,CA,Blink Network,4,0,12,0,12,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Calimesa,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Universal City,CA,NOODOE,2,0,10,2,12,6.00,16.67,83.33,2026-06-21 21:47:05.311903+00
Fort Bragg,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Universal City,CA,Tesla Destination,2,0,12,0,12,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Cotati,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Berkeley,CA,eVgo Network,2,0,0,12,12,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Valencia,CA,ChargePoint Network,8,0,11,1,12,1.50,8.33,91.67,2026-06-21 21:47:05.311903+00
Clovis,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pico Rivera,CA,EVGATEWAY,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Milpitas,CA,Electrify America,3,0,0,12,12,4.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Soda Springs,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Panorama City,CA,Blink Network,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carlsbad,CA,Tesla Destination,2,0,12,0,12,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mountain House,CA,Blink Network,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Goleta,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Scotts Valley,CA,ChargePoint Network,6,0,12,0,12,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Artesia,CA,LOOP,1,0,12,0,12,12.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Dixon,CA,Tesla,1,0,0,12,12,12.00,100.00,0.00,2026-06-21 21:47:05.311903+00
